,,TERRENA,,,,,,,,,,,
,Reporte Diario de Ventas,,,,,,,,,,,,
,Hora del reporte:,,,"nov 04 2025, 12:50 PM",,,,,,,,,
,Rango de fechas:,,,oct 01 2025  to oct 31 2025 ,,,,,,,,,
,Caja:,,,TODOS,,,,,,,,,
,Moneda:,,,Precio en MXN ($),,,,,,,,,
Item Sales,,,,,,,,,,,,,
ID,,,Nombre,,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,,,c,,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,,,x,,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
43,,,Americano,,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
44,,,Capuchino,,45.00,,1.0,45.00,0.0,0.0%,0.00,,45.00
60,,,Agua Embotellada 1 L,,15.00,,2.0,30.00,0.0,0.0%,0.00,,30.00
72,,,Galleta Chispas,,13.00,,2.0,26.00,0.0,0.0%,0.00,,26.00
89,,,Lechero,,45.00,,3.0,135.00,0.0,0.0%,0.00,,135.00
122,,,BARRA DASAVENA,,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
123,,,RISE KRISPIES,,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
,,,Gran Total:,,,,13.0,326.00,0.0,,0.00,,326.00
,,,,,,,,,,,,Pag.: 1,
