,,,TERRENA,,,,,,,,,,,,,,,,,
,REPORTE RESUMEN VENTAS,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tipo:,,,,,,,,,,,,
,,Hora:,,"2025 nov 04, 12:51 PM",,,,,,,Total Sistema,,,,,,,,,
,,Desde:,,2025 oct 01,,,,Centro,,,TODOS,,,,,,,,,
,,Hasta:,,2025 oct 31,,,,Turno:,,,TODOS,,,,,,,,,
,,Días:,,31,,,,,,,,,,,,,,,,
,ESTADÍSTICAS CLAVE,,,,,,,,,,,,,,,,,,,
,,,,,Capacidad,,:,,0,,,,Mesas:,,:,,0,,,
,,,,,Número de clientes,,:,,10599,,,,Número de cheques:,,:,,10599,,,
,,,,,Cliente/Asiento,,:,,1.00,,,,Cliente/cheque:,,:,,1.00,,,
,,,,,Rotación de mesas,,:,,0.00,,,,Tiempo de rotación:,,:,, ,,,
,,,,,Cliente promedio,,:,,55.89,,,,Cheque promedio:,,:,,56.35,,,
,,,,,Cheques abiertos,,:,,39,,,,Monto abierto:,,:,,993.00,,,
,,,,,Cheques anulados,,:,,65,,,,Monto anulado ,,:,,"4,467.00",,,
,,,,,Cheques pospuestos,,:,, ,,,,Cheques pagados:,,:,,0.0,,,
,,,,,Cheques de ,,:,, ,,,,Monto de ,,:,, ,,,
,,,,,Cheques reabiertos,,:,,0,,,,Monto reabierto:,,:,,0.00,,,
,,,,,Cheques sin ,,:,,0,,,,Monto sin impuesto:,,:,,0.00,,,
,,,,,Cheques unificados,,:,, ,,,,Monto unificado:,,:,, ,,,
,,,,,Horas laboradas,,:,,23.98,,,,Mano de obra:,,:,,0.00,,,
,,,,,Horas/ventas,,:,,"597,263.00",,,,Costo laboral:,,:,,0.00,,,
Parte del día,,,,,,Centro de ventas,,,,Cheque,,Clientes,Platos,Ventas,,Chk ,,,Clie ,%
,,,,,,CAFETERÍAS,,,,123,,123, ,"3,534.00",,28.73,,,28.73,0.59
,,,,,,PRINCIPAL,,,,10476,,10476, ,"598,512.00",,57.13,,,57.13,100.21
,,,,,,,,,,,,,,,,,,Pág: 1,,
