,,TERRENA,,,,,,,,,,,
,Reporte Diario de Ventas,,,,,,,,,,,,
,Hora del reporte:,,,"nov 04 2025, 12:28 PM",,,,,,,,,
,Rango de fechas:,,,sep 01 2025  to sep 30 2025 ,,,,,,,,,
,Caja:,,,TODOS,,,,,,,,,
,Moneda:,,,Precio en MXN ($),,,,,,,,,
Item Sales,,,,,,,,,,,,,
ID,,,Nombre,,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,,,PECHUGA ASADA ,,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
0,,,CLORESTS 3,,6.00,,1.0,6.00,0.0,0.0%,0.00,,6.00
0,,,extra huevo,,10.00,,2.0,20.00,0.0,0.0%,0.00,,20.00
0,,,extra queso de hebra,,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,,,ADEREZO,,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,,,ENFRIJOLADA EXTRA ,,16.00,,2.0,32.00,0.0,0.0%,0.00,,32.00
0,,,PALOMTAS ,,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,,,EXTRA PASTOR ,,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,,,MASAFINA ,,7.00,,2.0,14.00,0.0,0.0%,0.00,,14.00
0,,,VASOS DE PLASTICO ,,8.00,,1.0,8.00,0.0,0.0%,0.00,,8.00
0,,,EXTRA HUEVO,,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,,,extra pastor,,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,,,clorets,,2.00,,2.0,4.00,0.0,0.0%,0.00,,4.00
0,,,LOCHE WORK,,70.00,,1.0,70.00,0.0,0.0%,0.00,,70.00
0,,,TORTILLAS,,5.00,,2.0,10.00,0.0,0.0%,0.00,,10.00
0,,,maku jamaica ,,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,,,tridents,,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
0,,,VASOS,,8.00,,1.0,8.00,0.0,0.0%,0.00,,8.00
0,,,QUESO HEBRA,,10.00,,2.0,20.00,0.0,0.0%,0.00,,20.00
0,,,PALOMIRTAS,,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,,,RANCH,,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,,,POLVORON ,,8.00,,1.0,8.00,0.0,0.0%,0.00,,8.00
0,,,HUEVO EXTRA ,,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,,,EXTRA HUEVO ,,10.00,,7.0,70.00,0.0,0.0%,0.00,,70.00
0,,,SOPA DE LENTEJAS,,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,,,CHICLE,,2.00,,1.0,2.00,0.0,0.0%,0.00,,2.00
,,,,,,,,,,,,Pag.: 1,
ID,Nombre,,Precio,Cant.,Total,Desc.,Imp.,Total Imp.,,Total Bruto
0,CLORETS 2,4.00,,1.0,4.00,0.0,0.0%,0.00,,4.00
0,LECHE DE ALMEDNRAS ,7.00,,1.0,7.00,0.0,0.0%,0.00,,7.00
0,CHICLES,2.00,,5.0,10.00,0.0,0.0%,0.00,,10.00
0,CON QUESO ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,LONCHE WOK,70.00,,1.0,70.00,0.0,0.0%,0.00,,70.00
0,5 PESOS TORTILLA ,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
0,galletas,35.00,,4.0,140.00,0.0,0.0%,0.00,,140.00
0,TORTILLa,15.00,,1.0,15.00,0.0,0.0%,0.00,,15.00
0,GALLETAS HEALTHY,30.00,,1.0,30.00,0.0,0.0%,0.00,,30.00
0,CLORETS 3,6.00,,1.0,6.00,0.0,0.0%,0.00,,6.00
0,EXTRA QUESO HEBRA ,10.00,,4.0,40.00,0.0,0.0%,0.00,,40.00
0,barra,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,EXTRA CARGA ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,MAKU 5,100.00,,1.0,100.00,0.0,0.0%,0.00,,100.00
0,EXTRA TOCINO ,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,3 boneless extra,20.00,,1.0,20.00,0.0,0.0%,0.00,,20.00
0,EXTRA DE HUEVO,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,GALLETA AVENA NUEZ,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,PECHUGA ASADA ,25.00,,2.0,50.00,0.0,0.0%,0.00,,50.00
0,PASTOR,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,extra de huevo,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,GALLETAS,35.00,,1.0,35.00,0.0,0.0%,0.00,,35.00
0,PECHUGA ASADA,25.00,,1.0,25.00,0.0,0.0%,0.00,,25.00
0,VASO DE AGUA CALIENTE,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,JAMON EXTRA,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,EXTRA QUESO HEBRA,10.00,,1.0,10.00,0.0,0.0%,0.00,,10.00
0,2 ENCHILADAS EXTRA ,0.00,,1.0,0.00,0.0,0.0%,0.00,,0.00
0,PALOMITAS,20.00,,33.0,660.00,0.0,0.0%,0.00,,660.00
0,PALO,20.00,,5.0,100.00,0.0,0.0%,0.00,,100.00
0,3 MAKUS,60.00,,1.0,60.00,0.0,0.0%,0.00,,60.00
0,TORTILLA 4 PESOS ,3.00,,1.0,3.00,0.0,0.0%,0.00,,3.00
0,TRIDENTS,4.00,,3.0,12.00,0.0,0.0%,0.00,,12.00
0,MALANGA,28.00,,1.0,28.00,0.0,0.0%,0.00,,28.00
0,5 PESOS TORTITILLA,5.00,,1.0,5.00,0.0,0.0%,0.00,,5.00
