,,,TERRENA,,,,,,,,,,,,,,,,,
,REPORTE RESUMEN VENTAS,,,,,,,,,,,,,,,,,,,
,,,,,,,,Tipo:,,,,,,,,,,,,
,,Hora:,,"2025 nov 04, 12:54 PM",,,,,,,Total Sistema,,,,,,,,,
,,Desde:,,2025 sep 01,,,,Centro,,,TODOS,,,,,,,,,
,,Hasta:,,2025 sep 30,,,,Turno:,,,TODOS,,,,,,,,,
,,Días:,,30,,,,,,,,,,,,,,,,
,ESTADÍSTICAS CLAVE,,,,,,,,,,,,,,,,,,,
,,,,,Capacidad,,:,,0,,,,Mesas:,,:,,0,,,
,,,,,Número de clientes,,:,,10634,,,,Número de cheques:,,:,,10634,,,
,,,,,Cliente/Asiento,,:,,1.00,,,,Cliente/cheque:,,:,,1.00,,,
,,,,,Rotación de mesas,,:,,0.00,,,,Tiempo de rotación:,,:,, ,,,
,,,,,Cliente promedio,,:,,58.61,,,,Cheque promedio:,,:,,59.27,,,
,,,,,Cheques abiertos,,:,,22,,,,Monto abierto:,,:,,144.00,,,
,,,,,Cheques anulados,,:,,33,,,,Monto anulado ,,:,,"2,182.00",,,
,,,,,Cheques pospuestos,,:,, ,,,,Cheques pagados:,,:,,0.0,,,
,,,,,Cheques de ,,:,, ,,,,Monto de ,,:,, ,,,
,,,,,Cheques reabiertos,,:,,0,,,,Monto reabierto:,,:,,0.00,,,
,,,,,Cheques sin ,,:,,0,,,,Monto sin impuesto:,,:,,0.00,,,
,,,,,Cheques unificados,,:,, ,,,,Monto unificado:,,:,, ,,,
,,,,,Horas laboradas,,:,,0.00,,,,Mano de obra:,,:,,0.00,,,
,,,,,Horas/ventas,,:,,"630,227.00",,,,Costo laboral:,,:,,0.00,,,
Parte del día,,,,,,Centro de ventas,,,,Cheque,,Clientes,Platos,Ventas,,Chk ,,,Clie ,%
,,,,,,CAFETERÍAS,,,,39,,39, ,"1,712.00",,43.90,,,43.90,0.27
,,,,,,PRINCIPAL,,,,3520,,3520, ,"200,923.00",,57.08,,,57.08,31.88
,,,,,,,,,,,,,,,,,,Pág: 1,,
