file,path,error,chars,preview,report_type,date_range,branch,totals_found
Balance por Forma de Pago.pdf,/mnt/data/pdf_extracted/Balance por Forma de Pago.pdf,,608,"Dashboard Caja  Reportes  Inventario  ⛟Compras  Recetas Producción Reportes  ⚙Conﬁguración  Catálogos Perﬁl Personal Auditoría KDS « Balance por forma de pago Rango: 01/10/2025 — 01/10/2025 Sucursal: Todas · Terminal: Todas⎙ Im prim ir Desde 01/10/2025Hasta 01/10/2025Sucursal SELEMTITerminal(es) 101,102 Buscar Lim piar Generado: 04/11/2025 19:34 Fecha Sucursal Forma de pago Monto 01/10/2025 PRINCIPAL CREDIT_CARD $11,958.00 01/10/2025 PRINCIPAL CASH $9,323.00 01/10/2025 PRINCIPAL DEBIT_CARD $50.00 Sucursal: PRINCIPAL 19:43Balance por Forma de Pago 19:43  04/11/2025  soporte",Unknown,,Todas,[]
Cajón vs efectivo.pdf,/mnt/data/pdf_extracted/Cajón vs efectivo.pdf,,895,Dashboard Caja  Reportes  Inventario  ⛟Compras  Recetas Producción Reportes  ⚙Conﬁguración  Catálogos Perﬁl Personal Auditoría KDS « Cajón vs efectivo Rango: 01/10/2025 — 01/10/2025 Sucursal: Todas · Severidad: Todas Inicio/Reportes/Cajón vs efectivo⎙ Imprimir  PDF  Excel Desde 01/10/2025Hasta 01/10/2025Sucursal Todas las sucursalesSeveridad Todas  Buscar  Limpiar Generado: 04/11/2025 19:37 Terminales evaluadas 1 0 con discrepanciaEfectivo esperado $0.00 Consolidado del rangoEfectivo registrado $0.00 Cortes capturadosDiferencia neta $0.00 Cuadre perfecto Un solo día  Severidad por terminal Fecha Terminal Sucursal Esperado Registrado Diferencia Severidad 01/10/2025 — — $0.00 $0.00 $0.00 INFO  Resumen por sucursal Sucursal Esperado Registrado Diferencia SIN_SUCURSAL…,Drawer/Cash,,Todas,[]
Detalle de Ventas.pdf,/mnt/data/pdf_extracted/Detalle de Ventas.pdf,,6931,"       ⛟      ⚙       « Detalle de ventas (items) Rango: 01/10/2025 — 01/10/2025 Sucursal: Todas · Terminal: Todas⎙ Im prim ir Desde 01/10/2025Hasta 01/10/2025Sucursal SELEMTITerminal(es) 101,102 Buscar Lim piar Generado: 04/11/2025 19:34 Fecha Sucursal Terminal Ticket Item Cant. Unitario Descuento Neto 01/10/2025 PRINCIPAL 101 15229 Agua Embotellada 1 L 0.00 $15.00 $0.00 $15.00 01/10/2025 PRINCIPAL 102 15235 Agua Embotellada 1 L 0.00 $15.00 $0.00 $30.00 01/10/2025 PRINCIPAL 102 15235 Tacos de Guisado 0.00 $19.00 $0.00 $57.00 01/10/2025 PRINCIPAL 101 15478 MENU DEL DIA 0.00 $65.00 $0.00 $65.00 01/10/2025 PRINCIPAL 102 15243 Naranjada 0.00 $20.00 $0.00 $20.00 01/10/2025 PRINCIPAL 102 15243 Cuernito Jamón con Queso 0.00 $45.00 $0.00 $45.00 01/10/2025 PRINCIPAL 101 15244…",Unknown,,Todas,[]
Diagnósticos diarios.pdf,/mnt/data/pdf_extracted/Diagnósticos diarios.pdf,,941,       ⛟      ⚙       « Diagnósticos diarios Rango: 01/10/2025 — 01/10/2025 Severidad: Todas Inicio/Reportes/Diagnósticos diarios⎙ Imprimir  PDF  Excel Desde 01/10/2025Hasta 01/10/2025Severidad Todas  Buscar  Limpiar Generado: 04/11/2025 19:38 Total de veriﬁcaciones 8 2 vistas en 1 díasCoincidencias con ﬁltros 8 Severidad aplicada: todasTotal ﬁlas afectadas 8 Registros que requieren revisión Distribución por severidad Críticas 4 Advertencias 4 Informativas 0  Resumen de vistas monitorizadas Vista / ﬂujo Fecha Severidad Filas detectadas Neto vs cobros vw_diag_neto_vs_cobros01/10/2025 CRITICAL 4 Descuentos altos vw_diag_high_discounts01/10/2025 WARN 4  Detalle completo Fecha Vista origen Severidad Filas afectadas 01/10/2025Neto vs cobros…,Discounts,,PRINCIPAL 19,"[('Total', '8'), ('Total', '8')]"
JasperReports - credit_card_report (1).pdf,/mnt/data/pdf_extracted/JasperReports - credit_card_report (1).pdf,,355,"TERRENA REPORTE PAGOS PERSONALIZADOS Fecha: nov 04 2025, 07:49 PMDesde ago 01 2025 Hasta oct 31 2025 : : REF # PAGO TOTAL FECHA CAJERO 752 CUSTOM PAYMENT 90.00 19-08-2025 Jose Eumir Rodriguez 2606 CUSTOM PAYMENT 98.00 27-08-2025 Jose Eumir Rodriguez 22363 CUSTOM PAYMENT 280.00 20-10-2025 Jose Eumir Rodriguez NÚM TOTAL DE VENTAS TOTAL: :3 468.00",GenericTotalReport,,,"[('TOTAL', '752'), ('TOTAL', '3')]"
JasperReports - credit_card_report.pdf,/mnt/data/pdf_extracted/JasperReports - credit_card_report.pdf,,5120,"TERRENA REPORTE TARJETAS CRÉDITO FECHA: nov 04 2025, 07:46 PM DESDE: oct 01 2025 HASTA: oct 01 2025 REF # TIPO TARJETA PROPINA TOTAL AUTORICACIÓN FECHA CAJERO 0.00 289 VISA 0.10 5649 16-08-2025 Aldo Abraham 0.00 291 VISA 0.10 1 16-08-2025 Aldo Abraham 0.00 292 MASTER CARD 5.00 3600 16-08-2025 Aldo Abraham 0.00 335 VISA 90.00 1 18-08-2025 Jose Eumir 0.00 442 VISA 50.00 1 18-08-2025 Admin System 0.00 5 VISA 57.00 2345 15-08-2025 Admin System 0.00 12 VISA 128.00 4567 15-08-2025 Admin System 0.00 29 VISA 203.00 36476859854 15-08-2025 Aldo Abraham 0.00 312 VISA 183.00 4641 16-08-2025 Aldo Abraham 0.00 338 VISA 45.00 1 18-08-2025 Jose Eumir 0.00 351 VISA 65.00 1 18-08-2025 Admin System 0.00 314 VISA 45.00 2541 16-08-2025 Aldo Abraham 0.00 321 VISA 45.00 1 18-08-2025 Jose Eumir 0.00 323 VISA…",GenericTotalReport,,,"[('TOTAL', '0.00'), ('TOTAL', '0.00'), ('TOTAL', '0.00')]"
JasperReports - journal_report.pdf,/mnt/data/pdf_extracted/JasperReports - journal_report.pdf,,7844,"TERRENA REPORTE DIARIO Fecha nov 04 2025, 07:50 PMDesde: oct 01 2025 Hasta oct 01 2025 Pág.: 1 Ref # Tiempo Acción Usuario Comentarios 10101/Jose Eumir Rodriguez Rranco47661 01 oct, 07:55 AM NUEVA CUENTA CHK#: :15220 10101/Jose Eumir Rodriguez Rranco47662 01 oct, 07:55 AM EDITAR CUENTA CHK#: :15220 10101/Jose Eumir Rodriguez Rranco47663 01 oct, 07:55 AM PAGAR CUENTA CHK#: :15220;TOTAL:35.00 10101/Jose Eumir Rodriguez Rranco47664 01 oct, 09:02 AM NUEVA CUENTA CHK#: :15221 10101/Jose Eumir Rodriguez Rranco47665 01 oct, 09:02 AM EDITAR CUENTA CHK#: :15221 10101/Jose Eumir Rodriguez Rranco47666 01 oct, 09:02 AM PAGAR CUENTA CHK#: :15221;TOTAL:10.00 10101/Jose Eumir Rodriguez Rranco47667 01 oct, 09:05 AM NUEVA CUENTA CHK#: :15222 10101/Jose Eumir Rodriguez Rranco47668 01 oct, 09:06 AM EDITAR…",GenericTotalReport,,,"[('TOTAL', '35.00'), ('TOTAL', '10.00'), ('TOTAL', '15.00'), ('TOTAL', '45.00'), ('TOTAL', '135.00'), ('TOTAL', '70.00'), ('TOTAL', '67.00'), ('TOTAL', '35.00'), ('TOTAL', '20.00'), ('TOTAL', '15.00')]"
JasperReports - menu_usage_report.pdf,/mnt/data/pdf_extracted/JasperReports - menu_usage_report.pdf,,587,"MENU USAGE REPORT Report Time: nov 04 2025, 07:49 PM From: oct 01 2025 To: nov 01 2025 TERRENA CATEGORÍA VENTA BRUTA CANT DESCUENTOS VENTA NETA PROM VE NTA GANANCIA COSTO-% [%] 1 Pág: ALIMENTOS 230,236.00 6283 822.40 229,413.60 0.00 BEBIDAS CALIENTES 54,470.00 1249 240.00 54,230.00 0.00 POSTRES 31,319.00 1252 366.40 30,952.60 0.00 BEBIDAS FRÍAS 92,538.00 4396 326.00 92,212.00 0.00 DESAYUNOS 155,495.00 4128 1,097.20 154,397.80 0.00 OTROS 25,139.00 1832 56.40 25,082.60 0.00 MAKU 0.00 0 0.00 0.00 0.00 MISCELÁNEA 9,498.00 502 0.00 9,498.00 0.00 Pág: 1",Discounts,,,[]
JasperReports - open_ticket_summary_report.pdf,/mnt/data/pdf_extracted/JasperReports - open_ticket_summary_report.pdf,,1860,"TERRENA Resumen Tickets Abiertos Fecha de Cajero:nov 04 2025, 07:45 PM TODOS Tipo Usuario: TODOS Precio en MXN ($) Moneda: ID HORA CREACIÓN MESA(S) TOTAL POR COBRAR 25417 0.00 29 oct, 2025 25294 20.00 29 oct, 2025 25024 46.00 28 oct, 2025 24983 0.00 28 oct, 2025 24955 0.00 28 oct, 2025 24726 24.00 27 oct, 2025 24641 0.00 27 oct, 2025 24456 138.00 27 oct, 2025 24189 63.00 25 oct, 2025 23957 0.00 24 oct, 2025 23988 15.00 24 oct, 2025 23680 0.00 24 oct, 2025 23432 0.00 23 oct, 2025 23312 55.00 22 oct, 2025 23189 0.00 22 oct, 2025 22697 0.00 21 oct, 2025 22689 58.00 21 oct, 2025 22641 18.00 21 oct, 2025 22634 125.00 21 oct, 2025 22549 0.00 20 oct, 2025 22523 0.00 20 oct, 2025 22447 20.00 20 oct, 2025 22441 100.00 20 oct, 2025 22353 0.00 20 oct, 2025 22129 45.00 18 oct, 2025 21896 20.00 18…",GenericTotalReport,,,"[('TOTAL', '25417'), ('TOTAL', '21778'), ('TOTAL', '4004'), ('Total', '3')]"
JasperReports - sales_report.pdf,/mnt/data/pdf_extracted/JasperReports - sales_report.pdf,,5448,"TERRENA Reporte Diario de Ventas Hora del reporte: Rango de fechas: Caja:nov 04 2025, 07:44 PM oct 01 2025 to oct 01 2025 TODOS Moneda: Precio en MXN ($) Item Sales Nombre Precio Cant. Imp. ID Total Imp. Total Total Bruto Desc. 0 GALLETAS 35.00 1.0 35.00 0.0 0.0% 0.00 35.00 0 10 PESOS QUESO 10.00 1.0 10.00 0.0 0.0% 0.00 10.00 0 VASOS 6.00 1.0 6.00 0.0 0.0% 0.00 6.00 0 TORTILLAS 10 PESOS 10.00 1.0 10.00 0.0 0.0% 0.00 10.00 0 MAKU 20.00 3.0 60.00 0.0 0.0% 0.00 60.00 0 3 TORTILLAS 0.00 1.0 0.00 0.0 0.0% 0.00 0.00 0 TORTILLAS 0.00 1.0 0.00 0.0 0.0% 0.00 0.00 0 EXTRA PASTOR 20.00 1.0 20.00 0.0 0.0% 0.00 20.00 0 5 PESOS DE TORTILLA 5.00 2.0 10.00 0.0 0.0% 0.00 10.00 0 vasos 10.00 1.0 10.00 0.0 0.0% 0.00 10.00 0 MASAFINA 7.00 2.0 14.00 0.0 0.0% 0.00 14.00 0 CACAHUATES 20.00 1.0 20.00 0.0 0.0%…",ItemSales,,,"[('Total', '0'), ('Total', '10'), ('Total', '66'), ('Total', '660.0'), ('Total', '1')]"
