table_name|column_name|data_type|is_nullable|column_default|column_key
alert_events|id|bigint|NO|nextval('alert_events_id_seq'::regclass)|PRI
alert_events|recipe_id|bigint|NO||
alert_events|snapshot_at|"timestamp without time zone"|NO||
alert_events|old_portion_cost|numeric|YES||
alert_events|new_portion_cost|numeric|YES||
alert_events|delta_pct|numeric|YES||
alert_events|created_at|"timestamp without time zone"|YES|now()|
alert_events|handled|boolean|NO|false|
alert_events|assigned_to|bigint|YES||
alert_events|acknowledged_at|"timestamp with time zone"|YES||
alert_events|resolution_notes|text|YES||
alert_events|severity|"character varying"|NO|"'medium'::character varying"|
alert_rules|id|bigint|NO|nextval('alert_rules_id_seq'::regclass)|PRI
alert_rules|recipe_id|bigint|YES||
alert_rules|category_id|bigint|YES||
alert_rules|threshold_pct|numeric|NO|10.0|
alert_rules|active|boolean|NO|true|
alert_rules|notes|text|YES||
alert_rules|scope|"character varying"|NO|"'global'::character varying"|
alert_rules|threshold_numeric|numeric|YES||
alert_rules|threshold_percent|numeric|YES||
alert_rules|notification_channels|jsonb|YES||
alertas_cortes|id|bigint|NO|nextval('alertas_cortes_id_seq'::regclass)|PRI
alertas_cortes|postcorte_id|bigint|YES||
alertas_cortes|sesion_id|bigint|YES||
alertas_cortes|tipo|"character varying"|NO||
alertas_cortes|destinatario_id|integer|YES||
alertas_cortes|leida|boolean|YES|false|
alertas_cortes|creada_en|"timestamp with time zone"|YES|now()|
alertas_cortes|leida_en|"timestamp with time zone"|YES||
almacen|id|text|NO||PRI
almacen|sucursal_id|bigint|NO||
almacen|nombre|text|NO||
almacen|activo|boolean|NO|true|
audit_log|id|bigint|NO|nextval('audit_log_id_seq'::regclass)|PRI
audit_log|timestamp|"timestamp without time zone"|NO|now()|
audit_log|user_id|bigint|NO||
audit_log|accion|"character varying"|NO||
audit_log|entidad|"character varying"|NO||
audit_log|entidad_id|bigint|NO||
audit_log|motivo|text|YES||
audit_log|evidencia_url|text|YES||
audit_log|payload_json|jsonb|YES||
audit_log_global|id|bigint|NO|nextval('audit_log_global_id_seq'::regclass)|PRI
audit_log_global|schema_name|text|NO||
audit_log_global|table_name|text|NO||
audit_log_global|operation|text|NO||
audit_log_global|record_id|text|YES||
audit_log_global|old_data|jsonb|YES||
audit_log_global|new_data|jsonb|YES||
audit_log_global|changed_by_user_id|bigint|YES||
audit_log_global|changed_at|"timestamp without time zone"|YES|now()|
audit_log_global|ip_address|inet|YES||
audit_log_global|user_agent|text|YES||
auditoria|id|bigint|NO|nextval('auditoria_id_seq'::regclass)|PRI
auditoria|quien|integer|YES||
auditoria|que|text|NO||
auditoria|payload|jsonb|YES||
auditoria|creado_en|"timestamp with time zone"|NO|now()|
backup_tickets_cierre_masivo_20251112_112653|id|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|global_id|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_112653|create_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_112653|closing_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_112653|active_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_112653|deliveery_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_112653|creation_hour|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|paid|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|voided|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|void_reason|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_112653|wasted|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|refunded|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|settled|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|drawer_resetted|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|sub_total|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|total_discount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|total_tax|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|total_price|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|paid_amount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|due_amount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|advance_amount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|adjustment_amount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|number_of_guests|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|status|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_112653|bar_tab|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|is_tax_exempt|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|is_re_opened|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|service_charge|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|delivery_charge|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_112653|customer_id|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|delivery_address|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_112653|customer_pickeup|boolean|YES||
backup_tickets_cierre_masivo_20251112_112653|delivery_extra_info|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_112653|ticket_type|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_112653|shift_id|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|owner_id|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|driver_id|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|gratuity_id|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|void_by_user|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|terminal_id|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|folio_date|date|YES||
backup_tickets_cierre_masivo_20251112_112653|branch_key|text|YES||
backup_tickets_cierre_masivo_20251112_112653|daily_folio|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|backup_timestamp|"timestamp with time zone"|YES||
backup_tickets_cierre_masivo_20251112_112653|backup_user_id|integer|YES||
backup_tickets_cierre_masivo_20251112_112653|backup_user_name|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121131|id|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|global_id|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121131|create_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_121131|closing_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_121131|active_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_121131|deliveery_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_121131|creation_hour|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|paid|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|voided|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|void_reason|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121131|wasted|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|refunded|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|settled|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|drawer_resetted|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|sub_total|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|total_discount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|total_tax|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|total_price|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|paid_amount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|due_amount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|advance_amount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|adjustment_amount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|number_of_guests|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|status|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121131|bar_tab|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|is_tax_exempt|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|is_re_opened|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|service_charge|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|delivery_charge|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121131|customer_id|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|delivery_address|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121131|customer_pickeup|boolean|YES||
backup_tickets_cierre_masivo_20251112_121131|delivery_extra_info|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121131|ticket_type|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121131|shift_id|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|owner_id|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|driver_id|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|gratuity_id|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|void_by_user|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|terminal_id|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|folio_date|date|YES||
backup_tickets_cierre_masivo_20251112_121131|branch_key|text|YES||
backup_tickets_cierre_masivo_20251112_121131|daily_folio|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|backup_timestamp|"timestamp with time zone"|YES||
backup_tickets_cierre_masivo_20251112_121131|backup_user_id|integer|YES||
backup_tickets_cierre_masivo_20251112_121131|backup_user_name|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121211|id|integer|YES||
backup_tickets_cierre_masivo_20251112_121211|global_id|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121211|create_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_121211|closing_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_121211|active_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_121211|deliveery_date|"timestamp without time zone"|YES||
backup_tickets_cierre_masivo_20251112_121211|creation_hour|integer|YES||
backup_tickets_cierre_masivo_20251112_121211|paid|boolean|YES||
backup_tickets_cierre_masivo_20251112_121211|voided|boolean|YES||
backup_tickets_cierre_masivo_20251112_121211|void_reason|"character varying"|YES||
backup_tickets_cierre_masivo_20251112_121211|wasted|boolean|YES||
backup_tickets_cierre_masivo_20251112_121211|refunded|boolean|YES||
backup_tickets_cierre_masivo_20251112_121211|settled|boolean|YES||
backup_tickets_cierre_masivo_20251112_121211|drawer_resetted|boolean|YES||
backup_tickets_cierre_masivo_20251112_121211|sub_total|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121211|total_discount|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121211|total_tax|"double precision"|YES||
backup_tickets_cierre_masivo_20251112_121211|total_price|"double precision"|YES||
