table_name|column_name|constraint_name|referenced_table_name|referenced_column_name
alertas_cortes|destinatario_id|alertas_cortes_destinatario_id_fkey|users|id
alertas_cortes|postcorte_id|alertas_cortes_postcorte_id_fkey|postcorte|id
alertas_cortes|sesion_id|alertas_cortes_sesion_id_fkey|sesion_cajon|id
almacen|sucursal_id|almacen_sucursal_id_fkey|cat_sucursales|id
audit_log|user_id|selemti_audit_log_user_id_foreign|users|id
audit_log_global|changed_by_user_id|audit_log_global_changed_by_user_id_fkey|users|id
bodega|sucursal_id|bodega_sucursal_id_fkey|cat_sucursales|id
caja_fondo_adj|mov_id|caja_fondo_adj_mov_id_fkey|caja_fondo_mov|id
caja_fondo_arqueo|fondo_id|caja_fondo_arqueo_fondo_id_fkey|caja_fondo|id
caja_fondo_mov|fondo_id|caja_fondo_mov_fondo_id_fkey|caja_fondo|id
caja_fondo_usuario|fondo_id|caja_fondo_usuario_fondo_id_fkey|caja_fondo|id
cash_fund_arqueos|cash_fund_id|cash_fund_arqueos_cash_fund_id_foreign|cash_funds|id
cash_fund_arqueos|created_by_user_id|cash_fund_arqueos_created_by_user_id_foreign|users|id
cash_fund_movement_audit_log|changed_by_user_id|selemti_cash_fund_movement_audit_log_changed_by_user_id_foreign|users|id
cash_fund_movement_audit_log|movement_id|selemti_cash_fund_movement_audit_log_movement_id_foreign|cash_fund_movements|id
cash_fund_movements|approved_by_user_id|cash_fund_movements_approved_by_user_id_foreign|users|id
cash_fund_movements|cash_fund_id|cash_fund_movements_cash_fund_id_foreign|cash_funds|id
cash_fund_movements|created_by_user_id|cash_fund_movements_created_by_user_id_foreign|users|id
cash_funds|created_by_user_id|cash_funds_created_by_user_id_foreign|users|id
cash_funds|responsable_user_id|cash_funds_responsable_user_id_foreign|users|id
cat_almacenes|sucursal_id|cat_almacenes_sucursal_id_foreign|cat_sucursales|id
cat_uom_conversion|destino_id|cat_uom_conversion_destino_id_foreign|cat_unidades|id
cat_uom_conversion|origen_id|cat_uom_conversion_origen_id_foreign|cat_unidades|id
conciliacion|postcorte_id|conciliacion_postcorte_id_fkey|postcorte|id
conversiones_unidad_legacy|unidad_destino_id|conversiones_unidad_unidad_destino_id_fkey|unidades_medida_legacy|id
conversiones_unidad_legacy|unidad_origen_id|conversiones_unidad_unidad_origen_id_fkey|unidades_medida_legacy|id
cost_layer|batch_id|cost_layer_batch_id_fkey|inventory_batch|id
cost_layer|item_id|cost_layer_item_id_fkey|items|id
hist_cost_insumo|item_id|hist_cost_insumo_item_id_fkey|items|id
hist_cost_receta|receta_version_id|hist_cost_receta_receta_version_id_fkey|receta_version|id
historial_costos_item|item_id|historial_costos_item_item_id_fkey|items|id
historial_costos_receta|receta_version_id|historial_costos_receta_receta_version_id_fkey|receta_version|id
insumo|um_id|insumo_um_id_fkey|unidad_medida_legacy|id
insumo_presentacion|item_id|insumo_presentacion_item_id_fkey|items|id
insumo_presentacion|um_compra_id|insumo_presentacion_um_compra_id_fkey|unidad_medida_legacy|id
insumo_proveedor_presentacion|item_id|insumo_proveedor_presentacion_item_id_fkey|items|id
insumo_proveedor_presentacion|proveedor_id|ipp_proveedor_fk|proveedor|id
insumo_proveedor_presentacion|uom_base_id|ipp_uom_base_fk|cat_unidades|id
insumo_proveedor_presentacion|uom_compra_id|ipp_uom_compra_fk|cat_unidades|id
inv_consumo_pos_det|consumo_id|inv_consumo_pos_det_consumo_id_fkey|inv_consumo_pos|id
inv_stock_policy|item_id|inv_stock_policy_item_id_foreign|items|id
inv_stock_policy|sucursal_id|inv_stock_policy_sucursal_id_foreign|cat_sucursales|id
inventory_batch|item_id|inventory_batch_item_id_fkey|items|id
inventory_snapshot|item_id|fk_inventory_snapshot_item|items|id
item_vendor|item_id|item_vendor_item_id_fkey|items|id
item_vendor|unidad_presentacion_id|item_vendor_unidad_presentacion_id_fkey|unidades_medida_legacy|id
items|category_id|items_category_fk|item_categories|id
items|unidad_compra_id|items_unidad_compra_id_fkey|cat_unidades|id
items|unidad_medida_id|items_unidad_medida_id_fkey|cat_unidades|id
items|unidad_salida_id|items_unidad_salida_id_fkey|cat_unidades|id
lote|item_id|lote_item_id_fkey|items|id
menu_engineering_snapshots|menu_item_id|selemti_menu_engineering_snapshots_menu_item_id_foreign|menu_items|id
menu_item_sync_map|menu_item_id|selemti_menu_item_sync_map_menu_item_id_foreign|menu_items|id
merma|batch_id|merma_batch_id_fkey|inventory_batch|id
merma|item_id|merma_item_id_fkey|items|id
merma|um_id|merma_um_id_fkey|unidad_medida_legacy|id
merma|usuario_id|merma_user_id_fkey|users|id
model_has_permissions|permission_id|model_has_permissions_permission_id_foreign|permissions|id
model_has_roles|role_id|model_has_roles_role_id_foreign|roles|id
modificadores_pos|receta_modificador_id|modificadores_pos_receta_modificador_id_fkey|receta_cab|id
mov_inv|item_id|mov_inv_item_id_fkey|items|id
mov_inv|lote_id|mov_inv_lote_id_fkey|inventory_batch|id
op_cab|receta_version_id|op_cab_receta_version_id_fkey|receta_version|id
op_cab|sucursal_id|op_cab_sucursal_id_fkey|cat_sucursales|id
op_cab|um_salida_id|op_cab_um_salida_id_fkey|unidad_medida_legacy|id
op_cab|usuario_abre|op_cab_user_abre_fkey|users|id
