routine_name|routine_type|return_type
audit_trigger_func|FUNCTION|trigger
cerrar_lote_preparado|FUNCTION|bigint
fn_after_price_insert_alert|FUNCTION|trigger
fn_assign_item_code|FUNCTION|trigger
fn_confirmar_consumo_ticket|FUNCTION|void
fn_dah_after_insert|FUNCTION|trigger
fn_dah_after_insert_refuerzo|FUNCTION|trigger
fn_expandir_consumo_ticket|FUNCTION|void
fn_fondo_actual|FUNCTION|numeric
fn_gen_cat_codigo|FUNCTION|trigger
fn_generar_postcorte|FUNCTION|bigint
fn_item_unit_cost_at|FUNCTION|numeric
fn_ivp_upsert_close_prev|FUNCTION|trigger
fn_normalizar_forma_pago|FUNCTION|text
fn_postcorte_after_insert|FUNCTION|trigger
fn_precorte_after_insert|FUNCTION|trigger
fn_precorte_after_update_aprobado|FUNCTION|trigger
fn_precorte_efectivo_bi|FUNCTION|trigger
fn_recipe_cost_at|FUNCTION|record
fn_recipes_using_item|FUNCTION|bigint
fn_reparar_sesion_apertura|FUNCTION|text
fn_reversar_consumo_ticket|FUNCTION|void
fn_slug|FUNCTION|text
fn_terminal_bu_snapshot_cierre|FUNCTION|trigger
fn_tx_after_insert_forma_pago|FUNCTION|trigger
fn_uom_factor|FUNCTION|numeric
inferir_recetas_de_ventas|FUNCTION|integer
ingesta_ticket|FUNCTION|void
recalcular_costos_periodo|FUNCTION|integer
refresh_materialized_views|FUNCTION|void
registrar_consumo_porcionado|FUNCTION|integer
reprocesar_costos_historicos|FUNCTION|integer
set_timestamp_ipp|FUNCTION|trigger
sp_snapshot_recipe_cost|FUNCTION|void
tg_invshot_autofill|FUNCTION|trigger
trg_ticket_inventory_consumption|FUNCTION|trigger
update_updated_at_column|FUNCTION|trigger
