table_name|table_type
alert_events|"BASE TABLE"
alert_rules|"BASE TABLE"
alertas_cortes|"BASE TABLE"
almacen|"BASE TABLE"
audit_log|"BASE TABLE"
audit_log_global|"BASE TABLE"
auditoria|"BASE TABLE"
backup_tickets_cierre_masivo_20251112_112653|"BASE TABLE"
backup_tickets_cierre_masivo_20251112_121131|"BASE TABLE"
backup_tickets_cierre_masivo_20251112_121211|"BASE TABLE"
bodega|"BASE TABLE"
cache|"BASE TABLE"
cache_locks|"BASE TABLE"
caja_fondo|"BASE TABLE"
caja_fondo_adj|"BASE TABLE"
caja_fondo_arqueo|"BASE TABLE"
caja_fondo_mov|"BASE TABLE"
caja_fondo_usuario|"BASE TABLE"
cash_fund_arqueos|"BASE TABLE"
cash_fund_movement_audit_log|"BASE TABLE"
cash_fund_movements|"BASE TABLE"
cash_funds|"BASE TABLE"
cat_almacenes|"BASE TABLE"
cat_proveedores|"BASE TABLE"
cat_sucursales|"BASE TABLE"
cat_unidades|"BASE TABLE"
cat_uom_conversion|"BASE TABLE"
conciliacion|"BASE TABLE"
conversiones_unidad|VIEW
conversiones_unidad_legacy|"BASE TABLE"
cost_layer|"BASE TABLE"
failed_jobs|"BASE TABLE"
formas_pago|"BASE TABLE"
hist_cost_insumo|"BASE TABLE"
hist_cost_receta|"BASE TABLE"
historial_costos_item|"BASE TABLE"
historial_costos_receta|"BASE TABLE"
insumo|"BASE TABLE"
insumo_presentacion|"BASE TABLE"
insumo_proveedor_presentacion|"BASE TABLE"
inv_consumo_pos|"BASE TABLE"
inv_consumo_pos_det|"BASE TABLE"
inv_consumo_pos_log|"BASE TABLE"
inv_stock_policy|"BASE TABLE"
inventory_batch|"BASE TABLE"
inventory_count_lines|"BASE TABLE"
inventory_counts|"BASE TABLE"
inventory_snapshot|"BASE TABLE"
inventory_wastes|"BASE TABLE"
item_categories|"BASE TABLE"
item_category_counters|"BASE TABLE"
item_vendor|"BASE TABLE"
item_vendor_prices|"BASE TABLE"
items|"BASE TABLE"
job_batches|"BASE TABLE"
job_recalc_queue|"BASE TABLE"
jobs|"BASE TABLE"
labor_roles|"BASE TABLE"
lote|"BASE TABLE"
menu_engineering_snapshots|"BASE TABLE"
menu_item_sync_map|"BASE TABLE"
menu_items|"BASE TABLE"
merma|"BASE TABLE"
migrations|"BASE TABLE"
model_has_permissions|"BASE TABLE"
model_has_roles|"BASE TABLE"
modificadores_pos|"BASE TABLE"
mov_inv|"BASE TABLE"
op_cab|"BASE TABLE"
op_insumo|"BASE TABLE"
op_produccion_cab|"BASE TABLE"
op_yield|"BASE TABLE"
overhead_definitions|"BASE TABLE"
param_sucursal|"BASE TABLE"
password_reset_tokens|"BASE TABLE"
perdida_log|"BASE TABLE"
permissions|"BASE TABLE"
personal_access_tokens|"BASE TABLE"
pos_map|"BASE TABLE"
pos_modifiers_map|"BASE TABLE"
pos_reprocess_log|"BASE TABLE"
pos_reverse_log|"BASE TABLE"
pos_sync_batches|"BASE TABLE"
pos_sync_logs|"BASE TABLE"
postcorte|"BASE TABLE"
precorte|"BASE TABLE"
precorte_efectivo|"BASE TABLE"
precorte_otros|"BASE TABLE"
prod_cab|"BASE TABLE"
prod_det|"BASE TABLE"
production_order_inputs|"BASE TABLE"
production_order_outputs|"BASE TABLE"
production_orders|"BASE TABLE"
proveedor|"BASE TABLE"
purchase_documents|"BASE TABLE"
purchase_order_lines|"BASE TABLE"
purchase_orders|"BASE TABLE"
purchase_request_lines|"BASE TABLE"
purchase_requests|"BASE TABLE"
