trigger_name|event_manipulation|event_object_table|action_timing
update_hist_cost_insumo_updated_at|UPDATE|hist_cost_insumo|BEFORE
update_insumo_presentacion_updated_at|UPDATE|insumo_presentacion|BEFORE
trg_ipp_set_timestamp|UPDATE|insumo_proveedor_presentacion|BEFORE
update_insumo_proveedor_presentacion_updated_at|UPDATE|insumo_proveedor_presentacion|BEFORE
trg_invshot_biur|INSERT|inventory_snapshot|BEFORE
trg_invshot_biur|UPDATE|inventory_snapshot|BEFORE
trg_item_categories_autocode|INSERT|item_categories|BEFORE
trg_ivp_after_insert|INSERT|item_vendor_prices|AFTER
trg_ivp_close_prev|INSERT|item_vendor_prices|BEFORE
trg_items_assign_code|INSERT|items|BEFORE
update_merma_updated_at|UPDATE|merma|BEFORE
update_op_cab_updated_at|UPDATE|op_cab|BEFORE
update_op_insumo_updated_at|UPDATE|op_insumo|BEFORE
trg_postcorte_after_insert|INSERT|postcorte|AFTER
trg_precorte_after_insert|INSERT|precorte|AFTER
trg_precorte_after_update_aprobado|UPDATE|precorte|AFTER
trg_precorte_efectivo_bi|UPDATE|precorte_efectivo|BEFORE
trg_precorte_efectivo_bi|INSERT|precorte_efectivo|BEFORE
update_recepcion_cab_updated_at|UPDATE|recepcion_cab|BEFORE
update_recepcion_det_updated_at|UPDATE|recepcion_det|BEFORE
update_traspaso_cab_updated_at|UPDATE|traspaso_cab|BEFORE
update_traspaso_det_updated_at|UPDATE|traspaso_det|BEFORE
