 schemaname |           tablename           |                            indexname                            |                                                                                                                   indexdef                                                                                                                   
------------+-------------------------------+-----------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 selemti    | alert_events                  | alert_events_pkey                                               | CREATE UNIQUE INDEX alert_events_pkey ON selemti.alert_events USING btree (id)
 selemti    | alert_events                  | ix_alert_events_recipe                                          | CREATE INDEX ix_alert_events_recipe ON selemti.alert_events USING btree (recipe_id, created_at)
 selemti    | alert_rules                   | alert_rules_pkey                                                | CREATE UNIQUE INDEX alert_rules_pkey ON selemti.alert_rules USING btree (id)
 selemti    | almacen                       | almacen_pkey                                                    | CREATE UNIQUE INDEX almacen_pkey ON selemti.almacen USING btree (id)
 selemti    | audit_log                     | audit_log_pkey                                                  | CREATE UNIQUE INDEX audit_log_pkey ON selemti.audit_log USING btree (id)
 selemti    | audit_log                     | idx_audit_log_accion                                            | CREATE INDEX idx_audit_log_accion ON selemti.audit_log USING btree (accion)
 selemti    | audit_log                     | idx_audit_log_entidad                                           | CREATE INDEX idx_audit_log_entidad ON selemti.audit_log USING btree (entidad)
 selemti    | audit_log                     | idx_audit_log_entidad_id                                        | CREATE INDEX idx_audit_log_entidad_id ON selemti.audit_log USING btree (entidad_id)
 selemti    | audit_log                     | idx_audit_log_timestamp                                         | CREATE INDEX idx_audit_log_timestamp ON selemti.audit_log USING btree ("timestamp")
 selemti    | audit_log                     | idx_audit_log_user_id                                           | CREATE INDEX idx_audit_log_user_id ON selemti.audit_log USING btree (user_id)
 selemti    | audit_log                     | selemti_audit_log_entidad_entidad_id_index                      | CREATE INDEX selemti_audit_log_entidad_entidad_id_index ON selemti.audit_log USING btree (entidad, entidad_id)
 selemti    | audit_log                     | selemti_audit_log_timestamp_index                               | CREATE INDEX selemti_audit_log_timestamp_index ON selemti.audit_log USING btree ("timestamp")
 selemti    | audit_log                     | selemti_audit_log_user_id_index                                 | CREATE INDEX selemti_audit_log_user_id_index ON selemti.audit_log USING btree (user_id)
 selemti    | auditoria                     | auditoria_pkey                                                  | CREATE UNIQUE INDEX auditoria_pkey ON selemti.auditoria USING btree (id)
 selemti    | bodega                        | bodega_pkey                                                     | CREATE UNIQUE INDEX bodega_pkey ON selemti.bodega USING btree (id)
 selemti    | bodega                        | bodega_sucursal_id_codigo_key                                   | CREATE UNIQUE INDEX bodega_sucursal_id_codigo_key ON selemti.bodega USING btree (sucursal_id, codigo)
 selemti    | cache                         | cache_pkey                                                      | CREATE UNIQUE INDEX cache_pkey ON selemti.cache USING btree (key)
 selemti    | cache_locks                   | cache_locks_pkey                                                | CREATE UNIQUE INDEX cache_locks_pkey ON selemti.cache_locks USING btree (key)
 selemti    | caja_fondo                    | caja_fondo_pkey                                                 | CREATE UNIQUE INDEX caja_fondo_pkey ON selemti.caja_fondo USING btree (id)
 selemti    | caja_fondo_adj                | caja_fondo_adj_pkey                                             | CREATE UNIQUE INDEX caja_fondo_adj_pkey ON selemti.caja_fondo_adj USING btree (id)
 selemti    | caja_fondo_arqueo             | caja_fondo_arqueo_pkey                                          | CREATE UNIQUE INDEX caja_fondo_arqueo_pkey ON selemti.caja_fondo_arqueo USING btree (id)
 selemti    | caja_fondo_mov                | caja_fondo_mov_pkey                                             | CREATE UNIQUE INDEX caja_fondo_mov_pkey ON selemti.caja_fondo_mov USING btree (id)
 selemti    | caja_fondo_usuario            | caja_fondo_usuario_pkey                                         | CREATE UNIQUE INDEX caja_fondo_usuario_pkey ON selemti.caja_fondo_usuario USING btree (fondo_id, user_id)
 selemti    | cash_fund_arqueos             | cash_fund_arqueos_cash_fund_id_index                            | CREATE INDEX cash_fund_arqueos_cash_fund_id_index ON selemti.cash_fund_arqueos USING btree (cash_fund_id)
 selemti    | cash_fund_arqueos             | cash_fund_arqueos_cash_fund_id_unique                           | CREATE UNIQUE INDEX cash_fund_arqueos_cash_fund_id_unique ON selemti.cash_fund_arqueos USING btree (cash_fund_id)
 selemti    | cash_fund_arqueos             | cash_fund_arqueos_created_by_user_id_index                      | CREATE INDEX cash_fund_arqueos_created_by_user_id_index ON selemti.cash_fund_arqueos USING btree (created_by_user_id)
 selemti    | cash_fund_arqueos             | cash_fund_arqueos_pkey                                          | CREATE UNIQUE INDEX cash_fund_arqueos_pkey ON selemti.cash_fund_arqueos USING btree (id)
 selemti    | cash_fund_movement_audit_log  | cash_fund_movement_audit_log_pkey                               | CREATE UNIQUE INDEX cash_fund_movement_audit_log_pkey ON selemti.cash_fund_movement_audit_log USING btree (id)
 selemti    | cash_fund_movement_audit_log  | selemti_cash_fund_movement_audit_log_action_index               | CREATE INDEX selemti_cash_fund_movement_audit_log_action_index ON selemti.cash_fund_movement_audit_log USING btree (action)
 selemti    | cash_fund_movement_audit_log  | selemti_cash_fund_movement_audit_log_changed_by_user_id_index   | CREATE INDEX selemti_cash_fund_movement_audit_log_changed_by_user_id_index ON selemti.cash_fund_movement_audit_log USING btree (changed_by_user_id)
 selemti    | cash_fund_movement_audit_log  | selemti_cash_fund_movement_audit_log_movement_id_index          | CREATE INDEX selemti_cash_fund_movement_audit_log_movement_id_index ON selemti.cash_fund_movement_audit_log USING btree (movement_id)
 selemti    | cash_fund_movements           | cash_fund_movements_cash_fund_id_index                          | CREATE INDEX cash_fund_movements_cash_fund_id_index ON selemti.cash_fund_movements USING btree (cash_fund_id)
 selemti    | cash_fund_movements           | cash_fund_movements_created_by_user_id_index                    | CREATE INDEX cash_fund_movements_created_by_user_id_index ON selemti.cash_fund_movements USING btree (created_by_user_id)
 selemti    | cash_fund_movements           | cash_fund_movements_estatus_index                               | CREATE INDEX cash_fund_movements_estatus_index ON selemti.cash_fund_movements USING btree (estatus)
 selemti    | cash_fund_movements           | cash_fund_movements_pkey                                        | CREATE UNIQUE INDEX cash_fund_movements_pkey ON selemti.cash_fund_movements USING btree (id)
 selemti    | cash_fund_movements           | cash_fund_movements_tipo_index                                  | CREATE INDEX cash_fund_movements_tipo_index ON selemti.cash_fund_movements USING btree (tipo)
 selemti    | cash_funds                    | cash_funds_estado_index                                         | CREATE INDEX cash_funds_estado_index ON selemti.cash_funds USING btree (estado)
 selemti    | cash_funds                    | cash_funds_fecha_index                                          | CREATE INDEX cash_funds_fecha_index ON selemti.cash_funds USING btree (fecha)
 selemti    | cash_funds                    | cash_funds_pkey                                                 | CREATE UNIQUE INDEX cash_funds_pkey ON selemti.cash_funds USING btree (id)
 selemti    | cash_funds                    | cash_funds_responsable_user_id_index                            | CREATE INDEX cash_funds_responsable_user_id_index ON selemti.cash_funds USING btree (responsable_user_id)
 selemti    | cash_funds                    | cash_funds_sucursal_id_index                                    | CREATE INDEX cash_funds_sucursal_id_index ON selemti.cash_funds USING btree (sucursal_id)
 selemti    | cat_almacenes                 | cat_almacenes_clave_unique                                      | CREATE UNIQUE INDEX cat_almacenes_clave_unique ON selemti.cat_almacenes USING btree (clave)
 selemti    | cat_almacenes                 | cat_almacenes_pkey                                              | CREATE UNIQUE INDEX cat_almacenes_pkey ON selemti.cat_almacenes USING btree (id)
 selemti    | cat_proveedores               | cat_proveedores_pkey                                            | CREATE UNIQUE INDEX cat_proveedores_pkey ON selemti.cat_proveedores USING btree (id)
 selemti    | cat_proveedores               | cat_proveedores_rfc_unique                                      | CREATE UNIQUE INDEX cat_proveedores_rfc_unique ON selemti.cat_proveedores USING btree (rfc)
 selemti    | cat_proveedores               | idx_prov_razon_social                                           | CREATE INDEX idx_prov_razon_social ON selemti.cat_proveedores USING btree (razon_social)
 selemti    | cat_proveedores               | idx_prov_rfc                                                    | CREATE INDEX idx_prov_rfc ON selemti.cat_proveedores USING btree (rfc)
 selemti    | cat_sucursales                | cat_sucursales_clave_unique                                     | CREATE UNIQUE INDEX cat_sucursales_clave_unique ON selemti.cat_sucursales USING btree (clave)
 selemti    | cat_sucursales                | cat_sucursales_pkey                                             | CREATE UNIQUE INDEX cat_sucursales_pkey ON selemti.cat_sucursales USING btree (id)
 selemti    | cat_unidades                  | cat_unidades_clave_unique                                       | CREATE UNIQUE INDEX cat_unidades_clave_unique ON selemti.cat_unidades USING btree (clave)
 selemti    | cat_unidades                  | cat_unidades_pkey                                               | CREATE UNIQUE INDEX cat_unidades_pkey ON selemti.cat_unidades USING btree (id)
 selemti    | cat_unidades                  | idx_cat_unidades_activo                                         | CREATE INDEX idx_cat_unidades_activo ON selemti.cat_unidades USING btree (activo)
 selemti    | cat_unidades                  | idx_cat_unidades_clave                                          | CREATE INDEX idx_cat_unidades_clave ON selemti.cat_unidades USING btree (clave)
 selemti    | cat_uom_conversion            | cat_uom_conversion_origen_id_destino_id_unique                  | CREATE UNIQUE INDEX cat_uom_conversion_origen_id_destino_id_unique ON selemti.cat_uom_conversion USING btree (origen_id, destino_id)
 selemti    | cat_uom_conversion            | cat_uom_conversion_pkey                                         | CREATE UNIQUE INDEX cat_uom_conversion_pkey ON selemti.cat_uom_conversion USING btree (id)
 selemti    | cat_uom_conversion            | cat_uom_conversion_unique                                       | CREATE UNIQUE INDEX cat_uom_conversion_unique ON selemti.cat_uom_conversion USING btree (origen_id, destino_id)
 selemti    | cat_uom_conversion            | idx_cat_uom_conversion_destino                                  | CREATE INDEX idx_cat_uom_conversion_destino ON selemti.cat_uom_conversion USING btree (destino_id)
 selemti    | cat_uom_conversion            | idx_cat_uom_conversion_origen                                   | CREATE INDEX idx_cat_uom_conversion_origen ON selemti.cat_uom_conversion USING btree (origen_id)
 selemti    | cat_uom_conversion            | idx_cat_uom_conversion_scope                                    | CREATE INDEX idx_cat_uom_conversion_scope ON selemti.cat_uom_conversion USING btree (scope)
 selemti    | conciliacion                  | conciliacion_pkey                                               | CREATE UNIQUE INDEX conciliacion_pkey ON selemti.conciliacion USING btree (id)
 selemti    | conciliacion                  | conciliacion_postcorte_id_key                                   | CREATE UNIQUE INDEX conciliacion_postcorte_id_key ON selemti.conciliacion USING btree (postcorte_id)
