 schemaname |            tablename            
------------+---------------------------------
 public     | action_history
 public     | attendence_history
 public     | cash_drawer
 public     | cash_drawer_reset_history
 public     | cooking_instruction
 public     | coupon_and_discount
 public     | currency
 public     | currency_balance
 public     | custom_payment
 public     | customer
 public     | customer_properties
 public     | daily_folio_counter
 public     | data_update_info
 public     | delivery_address
 public     | delivery_charge
 public     | delivery_configuration
 public     | delivery_instruction
 public     | drawer_assigned_history
 public     | drawer_pull_report
 public     | drawer_pull_report_voidtickets
 public     | employee_in_out_history
 public     | global_config
 public     | gratuity
 public     | group_taxes
 public     | guest_check_print
 public     | inventory_group
 public     | inventory_item
 public     | inventory_location
 public     | inventory_meta_code
 public     | inventory_transaction
 public     | inventory_unit
 public     | inventory_vendor
 public     | inventory_warehouse
 public     | item_order_type
 public     | kds_ready_log
 public     | kit_ticket_table_num
 public     | kitchen_ticket
 public     | kitchen_ticket_item
 public     | menu_category
 public     | menu_group
 public     | menu_item
 public     | menu_item_properties
 public     | menu_item_size
 public     | menu_item_terminal_ref
 public     | menu_modifier
 public     | menu_modifier_group
 public     | menu_modifier_properties
 public     | menucategory_discount
 public     | menugroup_discount
 public     | menuitem_discount
 public     | menuitem_modifiergroup
 public     | menuitem_pizzapirce
 public     | menuitem_shift
 public     | menumodifier_pizzamodifierprice
 public     | modifier_multiplier_price
 public     | multiplier
 public     | order_type
 public     | packaging_unit
 public     | payout_reasons
 public     | payout_recepients
 public     | pizza_crust
 public     | pizza_modifier_price
 public     | pizza_price
 public     | printer_configuration
 public     | printer_group
 public     | printer_group_printers
 public     | purchase_order
 public     | recepie
 public     | recepie_item
 public     | restaurant
 public     | restaurant_properties
 public     | shift
 public     | shop_floor
 public     | shop_floor_template
 public     | shop_floor_template_properties
 public     | shop_table
 public     | shop_table_status
 public     | shop_table_type
 public     | table_booking_info
 public     | table_booking_mapping
 public     | table_ticket_num
 public     | table_type_relation
 public     | tax
 public     | tax_group
 public     | terminal
 public     | terminal_printers
 public     | terminal_properties
 public     | ticket
 public     | ticket_discount
 public     | ticket_item
 public     | ticket_item_addon_relation
 public     | ticket_item_cooking_instruction
 public     | ticket_item_discount
 public     | ticket_item_modifier
 public     | ticket_item_modifier_relation
 public     | ticket_properties
 public     | ticket_table_num
 public     | transaction_properties
 public     | transactions
 public     | user_permission
 public     | user_type
 public     | user_user_permission
 public     | users
 public     | virtual_printer
 public     | virtualprinter_order_type
 public     | void_reasons
 public     | zip_code_vs_delivery_charge
 selemti    | alert_events
 selemti    | alert_rules
 selemti    | almacen
 selemti    | audit_log
 selemti    | audit_log_global
 selemti    | auditoria
 selemti    | bodega
 selemti    | cache
 selemti    | cache_locks
 selemti    | caja_fondo
 selemti    | caja_fondo_adj
 selemti    | caja_fondo_arqueo
 selemti    | caja_fondo_mov
 selemti    | caja_fondo_usuario
 selemti    | cash_fund_arqueos
 selemti    | cash_fund_movement_audit_log
 selemti    | cash_fund_movements
 selemti    | cash_funds
 selemti    | cat_almacenes
 selemti    | cat_proveedores
 selemti    | cat_sucursales
 selemti    | cat_unidades
 selemti    | cat_uom_conversion
 selemti    | conciliacion
 selemti    | conversiones_unidad_legacy
 selemti    | cost_layer
 selemti    | failed_jobs
 selemti    | formas_pago
 selemti    | hist_cost_insumo
 selemti    | hist_cost_receta
 selemti    | historial_costos_item
 selemti    | historial_costos_receta
 selemti    | insumo
 selemti    | insumo_presentacion
 selemti    | insumo_proveedor_presentacion
 selemti    | inv_consumo_pos
 selemti    | inv_consumo_pos_det
 selemti    | inv_consumo_pos_log
 selemti    | inv_stock_policy
 selemti    | inventory_batch
 selemti    | inventory_count_lines
 selemti    | inventory_counts
 selemti    | inventory_snapshot
 selemti    | inventory_wastes
 selemti    | item_categories
 selemti    | item_category_counters
 selemti    | item_vendor
 selemti    | item_vendor_prices
 selemti    | items
 selemti    | job_batches
 selemti    | job_recalc_queue
 selemti    | jobs
 selemti    | labor_roles
 selemti    | lote
 selemti    | menu_engineering_snapshots
 selemti    | menu_item_sync_map
 selemti    | menu_items
 selemti    | merma
 selemti    | migrations
 selemti    | model_has_permissions
 selemti    | model_has_roles
 selemti    | modificadores_pos
 selemti    | mov_inv
 selemti    | op_cab
 selemti    | op_insumo
 selemti    | op_produccion_cab
 selemti    | op_yield
 selemti    | overhead_definitions
 selemti    | param_sucursal
 selemti    | password_reset_tokens
 selemti    | perdida_log
 selemti    | permissions
 selemti    | personal_access_tokens
 selemti    | pos_map
 selemti    | pos_modifiers_map
 selemti    | pos_reprocess_log
 selemti    | pos_reverse_log
 selemti    | pos_sync_batches
 selemti    | pos_sync_logs
 selemti    | postcorte
 selemti    | precorte
 selemti    | precorte_efectivo
 selemti    | precorte_otros
 selemti    | prod_cab
 selemti    | prod_det
 selemti    | production_order_inputs
 selemti    | production_order_outputs
 selemti    | production_orders
 selemti    | proveedor
 selemti    | purchase_documents
 selemti    | purchase_order_lines
 selemti    | purchase_orders
 selemti    | purchase_request_lines
 selemti    | purchase_requests
 selemti    | purchase_suggestion_lines
 selemti    | purchase_suggestions
 selemti    | purchase_vendor_quote_lines
 selemti    | purchase_vendor_quotes
 selemti    | recalc_log
 selemti    | recepcion_adjuntos
 selemti    | recepcion_cab
 selemti    | recepcion_det
 selemti    | receta
 selemti    | receta_cab
 selemti    | receta_det
 selemti    | receta_insumo
 selemti    | receta_shadow
 selemti    | receta_version
 selemti    | recipe_cost_history
 selemti    | recipe_cost_snapshots
 selemti    | recipe_extended_cost_history
 selemti    | recipe_labor_steps
 selemti    | recipe_overhead_allocations
 selemti    | recipe_version_items
 selemti    | recipe_versions
 selemti    | replenishment_suggestions
 selemti    | report_definitions
 selemti    | report_runs
 selemti    | rol
 selemti    | role_has_permissions
 selemti    | roles
 selemti    | sesion_cajon
 selemti    | sessions
 selemti    | sol_prod_cab
 selemti    | sol_prod_det
 selemti    | stock_policy
 selemti    | sucursal
 selemti    | sucursal_almacen_terminal
 selemti    | ticket_det_consumo
 selemti    | ticket_item_modifiers
 selemti    | ticket_venta_cab
 selemti    | ticket_venta_det
 selemti    | transfer_cab
 selemti    | transfer_det
 selemti    | traspaso_cab
 selemti    | traspaso_det
 selemti    | unidad_medida_legacy
 selemti    | unidades_medida_legacy
 selemti    | uom_conversion_legacy
 selemti    | user_roles
 selemti    | users
 selemti    | usuario
(249 filas)

