                           Listado de relaciones
 Esquema |                    Nombre                    | Tipo  |  Dueño   
---------+----------------------------------------------+-------+----------
 selemti | alert_events                                 | tabla | postgres
 selemti | alert_rules                                  | tabla | postgres
 selemti | alertas_cortes                               | tabla | postgres
 selemti | almacen                                      | tabla | postgres
 selemti | audit_log                                    | tabla | postgres
 selemti | audit_log_global                             | tabla | postgres
 selemti | auditoria                                    | tabla | floreant
 selemti | backup_tickets_cierre_masivo_20251112_112653 | tabla | postgres
 selemti | backup_tickets_cierre_masivo_20251112_121131 | tabla | postgres
 selemti | backup_tickets_cierre_masivo_20251112_121211 | tabla | postgres
 selemti | bodega                                       | tabla | postgres
 selemti | cache                                        | tabla | postgres
 selemti | cache_locks                                  | tabla | postgres
 selemti | caja_fondo                                   | tabla | postgres
 selemti | caja_fondo_adj                               | tabla | postgres
 selemti | caja_fondo_arqueo                            | tabla | postgres
 selemti | caja_fondo_mov                               | tabla | postgres
 selemti | caja_fondo_usuario                           | tabla | postgres
 selemti | cash_fund_arqueos                            | tabla | postgres
 selemti | cash_fund_movement_audit_log                 | tabla | postgres
 selemti | cash_fund_movements                          | tabla | postgres
 selemti | cash_funds                                   | tabla | postgres
 selemti | cat_almacenes                                | tabla | postgres
 selemti | cat_proveedores                              | tabla | postgres
 selemti | cat_sucursales                               | tabla | postgres
 selemti | cat_unidades                                 | tabla | postgres
 selemti | cat_uom_conversion                           | tabla | postgres
 selemti | conciliacion                                 | tabla | postgres
 selemti | conversiones_unidad_legacy                   | tabla | postgres
 selemti | cost_layer                                   | tabla | postgres
 selemti | failed_jobs                                  | tabla | postgres
 selemti | formas_pago                                  | tabla | floreant
 selemti | hist_cost_insumo                             | tabla | postgres
 selemti | hist_cost_receta                             | tabla | postgres
 selemti | historial_costos_item                        | tabla | postgres
 selemti | historial_costos_receta                      | tabla | postgres
 selemti | insumo                                       | tabla | postgres
 selemti | insumo_presentacion                          | tabla | postgres
 selemti | insumo_proveedor_presentacion                | tabla | postgres
 selemti | inv_consumo_pos                              | tabla | postgres
 selemti | inv_consumo_pos_det                          | tabla | postgres
 selemti | inv_consumo_pos_log                          | tabla | postgres
 selemti | inv_stock_policy                             | tabla | postgres
 selemti | inventory_batch                              | tabla | postgres
 selemti | inventory_count_lines                        | tabla | postgres
 selemti | inventory_counts                             | tabla | postgres
 selemti | inventory_snapshot                           | tabla | postgres
 selemti | inventory_wastes                             | tabla | postgres
 selemti | item_categories                              | tabla | postgres
 selemti | item_category_counters                       | tabla | postgres
 selemti | item_vendor                                  | tabla | postgres
 selemti | item_vendor_prices                           | tabla | postgres
 selemti | items                                        | tabla | postgres
 selemti | job_batches                                  | tabla | postgres
 selemti | job_recalc_queue                             | tabla | postgres
 selemti | jobs                                         | tabla | postgres
 selemti | labor_roles                                  | tabla | postgres
 selemti | lote                                         | tabla | postgres
 selemti | menu_engineering_snapshots                   | tabla | postgres
 selemti | menu_item_sync_map                           | tabla | postgres
 selemti | menu_items                                   | tabla | postgres
 selemti | merma                                        | tabla | postgres
 selemti | migrations                                   | tabla | postgres
 selemti | model_has_permissions                        | tabla | postgres
 selemti | model_has_roles                              | tabla | postgres
 selemti | modificadores_pos                            | tabla | postgres
 selemti | mov_inv                                      | tabla | postgres
 selemti | op_cab                                       | tabla | postgres
 selemti | op_insumo                                    | tabla | postgres
 selemti | op_produccion_cab                            | tabla | postgres
 selemti | op_yield                                     | tabla | postgres
 selemti | overhead_definitions                         | tabla | postgres
 selemti | param_sucursal                               | tabla | postgres
 selemti | password_reset_tokens                        | tabla | postgres
 selemti | perdida_log                                  | tabla | postgres
 selemti | permissions                                  | tabla | postgres
 selemti | personal_access_tokens                       | tabla | postgres
 selemti | pos_map                                      | tabla | postgres
 selemti | pos_modifiers_map                            | tabla | postgres
 selemti | pos_reprocess_log                            | tabla | postgres
 selemti | pos_reverse_log                              | tabla | postgres
 selemti | pos_sync_batches                             | tabla | postgres
 selemti | pos_sync_logs                                | tabla | postgres
 selemti | postcorte                                    | tabla | floreant
 selemti | precorte                                     | tabla | floreant
 selemti | precorte_efectivo                            | tabla | floreant
 selemti | precorte_otros                               | tabla | floreant
 selemti | prod_cab                                     | tabla | postgres
 selemti | prod_det                                     | tabla | postgres
 selemti | production_order_inputs                      | tabla | postgres
 selemti | production_order_outputs                     | tabla | postgres
 selemti | production_orders                            | tabla | postgres
 selemti | proveedor                                    | tabla | postgres
 selemti | purchase_documents                           | tabla | postgres
 selemti | purchase_order_lines                         | tabla | postgres
 selemti | purchase_orders                              | tabla | postgres
 selemti | purchase_request_lines                       | tabla | postgres
 selemti | purchase_requests                            | tabla | postgres
 selemti | purchase_suggestion_lines                    | tabla | postgres
 selemti | purchase_suggestions                         | tabla | postgres
 selemti | purchase_vendor_quote_lines                  | tabla | postgres
 selemti | purchase_vendor_quotes                       | tabla | postgres
 selemti | recalc_log                                   | tabla | postgres
 selemti | recepcion_adjuntos                           | tabla | postgres
 selemti | recepcion_cab                                | tabla | postgres
 selemti | recepcion_det                                | tabla | postgres
 selemti | receta                                       | tabla | postgres
 selemti | receta_cab                                   | tabla | postgres
 selemti | receta_det                                   | tabla | postgres
 selemti | receta_insumo                                | tabla | postgres
 selemti | receta_shadow                                | tabla | postgres
 selemti | receta_version                               | tabla | postgres
 selemti | recipe_cost_history                          | tabla | postgres
 selemti | recipe_cost_snapshots                        | tabla | postgres
 selemti | recipe_extended_cost_history                 | tabla | postgres
 selemti | recipe_labor_steps                           | tabla | postgres
 selemti | recipe_overhead_allocations                  | tabla | postgres
 selemti | recipe_version_items                         | tabla | postgres
 selemti | recipe_versions                              | tabla | postgres
 selemti | replenishment_suggestions                    | tabla | postgres
 selemti | report_definitions                           | tabla | postgres
 selemti | report_favorites                             | tabla | postgres
 selemti | report_runs                                  | tabla | postgres
 selemti | rol                                          | tabla | postgres
 selemti | role_has_permissions                         | tabla | postgres
 selemti | roles                                        | tabla | postgres
 selemti | sesion_cajon                                 | tabla | floreant
 selemti | sessions                                     | tabla | postgres
 selemti | sol_prod_cab                                 | tabla | postgres
 selemti | sol_prod_det                                 | tabla | postgres
 selemti | stock_policy                                 | tabla | postgres
 selemti | sucursal                                     | tabla | postgres
 selemti | sucursal_almacen_terminal                    | tabla | postgres
 selemti | ticket_det_consumo                           | tabla | postgres
 selemti | ticket_item_modifiers                        | tabla | postgres
 selemti | ticket_venta_cab                             | tabla | postgres
 selemti | ticket_venta_det                             | tabla | postgres
 selemti | transfer_cab                                 | tabla | postgres
 selemti | transfer_det                                 | tabla | postgres
 selemti | traspaso_cab                                 | tabla | postgres
 selemti | traspaso_det                                 | tabla | postgres
 selemti | unidad_medida_legacy                         | tabla | postgres
 selemti | unidades_medida_legacy                       | tabla | postgres
 selemti | uom_conversion_legacy                        | tabla | postgres
 selemti | user_roles                                   | tabla | postgres
 selemti | users                                        | tabla | postgres
 selemti | usuario                                      | tabla | postgres
(147 filas)

