"Archivo","Linea","Patron","Riesgo","Contexto","Extension"
"app\Console\Commands\AuditDatabaseDuplicates.php","404","DROP TABLE","ALTO","$report .= ""DROP TABLE IF EXISTS selemti.\""$table\"" CASCADE;\n"";",".php"
"app\Console\Commands\AuditDatabaseDuplicates.php","413","DROP TABLE","ALTO","$report .= ""DROP TABLE IF EXISTS selemti.\""$table\"" CASCADE;\n"";",".php"
"app\Console\Commands\AuditDatabaseDuplicates.php","426","DROP TABLE","ALTO","$report .= ""-- DROP TABLE selemti.sucursal CASCADE;\n\n"";",".php"
"app\Console\Commands\AuditDatabaseDuplicates.php","453","CASCADE","ALTO","$report .= ""2. **Foreign Keys**: CASCADE drops pueden eliminar datos relacionados.\n"";",".php"
"app\Console\Commands\DbSelectCommand.php","40","TRUNCATE","ALTO","$blocked = [' insert ', ' update ', ' delete ', ' drop ', ' alter ', ' truncate ', ' grant ', ' r...",".php"
"database\migrations\0001_01_01_000000_create_users_table.php","51","Schema::drop","MEDIO","Schema::dropIfExists('users');",".php"
"database\migrations\0001_01_01_000000_create_users_table.php","52","Schema::drop","MEDIO","Schema::dropIfExists('password_reset_tokens');",".php"
"database\migrations\0001_01_01_000000_create_users_table.php","53","Schema::drop","MEDIO","Schema::dropIfExists('sessions');",".php"
"database\migrations\0001_01_01_000001_create_cache_table.php","36","Schema::drop","MEDIO","Schema::dropIfExists('cache');",".php"
"database\migrations\0001_01_01_000001_create_cache_table.php","37","Schema::drop","MEDIO","Schema::dropIfExists('cache_locks');",".php"
"database\migrations\0001_01_01_000002_create_jobs_table.php","59","Schema::drop","MEDIO","Schema::dropIfExists('jobs');",".php"
"database\migrations\0001_01_01_000002_create_jobs_table.php","60","Schema::drop","MEDIO","Schema::dropIfExists('job_batches');",".php"
"database\migrations\0001_01_01_000002_create_jobs_table.php","61","Schema::drop","MEDIO","Schema::dropIfExists('failed_jobs');",".php"
"database\migrations\2025_01_23_100000_create_cash_funds_table.php","52","Schema::drop","MEDIO","Schema::dropIfExists('cash_funds');",".php"
"database\migrations\2025_01_23_100001_create_cash_fund_movements_table.php","22","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_01_23_100001_create_cash_fund_movements_table.php","60","Schema::drop","MEDIO","Schema::dropIfExists('cash_fund_movements');",".php"
"database\migrations\2025_01_23_100002_create_cash_fund_arqueos_table.php","25","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_01_23_100002_create_cash_fund_arqueos_table.php","50","Schema::drop","MEDIO","Schema::dropIfExists('cash_fund_arqueos');",".php"
"database\migrations\2025_01_23_110000_create_cash_fund_movement_audit_log_table.php","39","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","65","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","91","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","113","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","118","CASCADE","ALTO","->onDelete('cascade');",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","140","Schema::drop","MEDIO","Schema::drop($tableNames['role_has_permissions']);",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","141","Schema::drop","MEDIO","Schema::drop($tableNames['model_has_roles']);",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","142","Schema::drop","MEDIO","Schema::drop($tableNames['model_has_permissions']);",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","143","Schema::drop","MEDIO","Schema::drop($tableNames['roles']);",".php"
"database\migrations\2025_09_26_205955_create_permission_tables.php","144","Schema::drop","MEDIO","Schema::drop($tableNames['permissions']);",".php"
"database\migrations\2025_10_18_000004_create_cat_uom_conversion_table.php","28","CASCADE","ALTO","->cascadeOnDelete();",".php"
"database\migrations\2025_10_18_000004_create_cat_uom_conversion_table.php","33","CASCADE","ALTO","->cascadeOnDelete();",".php"
"database\migrations\2025_10_18_000005_create_inv_stock_policy_table.php","30","CASCADE","ALTO","->cascadeOnDelete();",".php"
